Title,Reference Number,Location,Closing Date,Remuneration,Duties,Enquiries,Minimum Educational Qualification,Employment Type
Artisan Assistant,CWD201/2025 Ceres Hospital,Ceres Hospital,1/9/2026,"R 193 359 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Assist with the execution of engineering/projects/repairs and internal maintenance in regard of plumbing, carpentry, electrical, glazing and building works. Maintain, repair and cleaning of drains on a regular basis Maintain and repair general kitchen and laundry equipment. Strict adherence to the Occupational health and Safety Act. Assist Artisans in the performance of their duties. Control over tools, equipment and material.","Mr. Warren Owen, tel. no. (023) 316-9600",Grade 10 (equivalent to Standard 8),Permanent Reference No: CWD201/2025 Ceres Hospital
Artisan Assistant (Mechanical) (2 Posts),GSH347/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,"R 193 359 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Maintain and repair equipment at the hospital. Assist with the execution of mechanical projects which will include fabrication & welding. Assist other departments within the workshop set up. Assist Artisans in the performance of their duties, and clean areas where work has been carried out. Complete and return repair requisitions and assist in ordering and controlling the workshop, materials and tools.","Mr. A.K Mgcodo / Mr EM Sithole, Tel no. (021) 404-6251 / 6212",Grade 10 Certificate or (or equivalent).,Permanent Reference No: GSH347/2025 Groote Schuur Hospital
Artisan Production Grade A to C (Mechanical),TBH193/2025 Tygerberg Hospital,Tygerberg Hospital,1/9/2026,"Grade A: R 243 597 per annum; Grade B: R 285 816 per annum; Grade C: R 332 061 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Maintain and repair all plant and equipment at the Hospital under the supervision of the Artisan Foreman. Perform necessary administrative functions, train and supervise subordinates. Assist with the execution of engineering projects and control over tools and materials. Assist Artisan Foreman with his duties.",Mr P Sishuba tel. no. (021) 938- 6100,Appropriate Trade Test Certificate in appropriate field.,Permanent Reference No: TBH193/2025 Tygerberg Hospital
Senior Forensic Pathology Officer (8 posts),"ECSS133/2025 Beaufort West, Wolseley, Hermanus, Knysna, Malmesbury, Mossel Bay, Vredenburg and Vredendal L2","Beaufort West, Wolseley, Hermanus, Knysna, Malmesbury, Mossel Bay, Vredenburg and Vredendal L2",1/9/2026,"R 325 101 - R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Efficient support to the Manager regarding operational management of the Forensic Pathology Laboratory. Efficient support to the Manager regarding Corporate Governance aspects. Effective Management of the Forensic Pathology Assistant Program. Effective Operational Service Delivery at the Facility.,Mr S Fyfe – sean.fyfe@westerncape.gov.za Mr B Jonker – brent.jonker@westerncape.gov.za,Senior Certificate (or equivalent).,"Permanent Reference No: ECSS133/2025 Beaufort West, Wolseley, Hermanus, Knysna, Malmesbury, Mossel Bay, Vredenburg and Vredendal L2"
Artisan Assistant (Mechanical),"TBH194/2025 Tygerberg Hospital, Parow Valley","Tygerberg Hospital, Parow Valley",1/9/2026,"R 193 359 per annum - R 227 766 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Assist with repairs and installation of projects, emergency breakdowns, supervise and in-service training of co-workers. Maintain and repair mechanical equipment, repair of plant equipment, furniture (Beds), fixtures and fittings mechanical. Assist in preventive maintenance procedures, including autoclave, steam generators, water tanks, chlorifiers. Basic welding repairs and installations. Obtaining quotations, order and control of materials as needed to complete requisitions. Strict adherence to the Occupational Health and Safety Act.","Mr E Frasenburg, tel. no. (021) 938-4237",Grade 10 (or equivalent).,"Permanent Reference No: TBH194/2025 Tygerberg Hospital, Parow Valley"
Chief Artisan Grade A (Technical Services),MHS825/2025 Stikland Hospital,Stikland Hospital,1/9/2026,"Grade A: R 480,261 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Effective and efficient management of the Workshop, including People Management, Equipment- and Supplies management and the management of the Workshop stores. Input and liaising with Chain Management/Finance Management on procurement matters and other resources. Strategic planning and management of hospital maintenance needs and infrastructure projects. Implement strategies to ensure continuous adherence to OHSA and other legislative frameworks in order to achieve compliance with IHS, IPC and OHS norms and standards and render sound quality and risk management practices. Provide input, assistance and compile technical specifications, draft business plans, draft reports and submissions, assist and complete adverse incident reports, submit monthly and adhoc statistics and other relevant administrative tasks as required. Ensure adherence to all legislation relating to construction, electrical, plumbing, welding, plantrooms and carpentry works to ensure compliance and smooth operations at Stikland Hospital.","Ms Z Filby, tel. no. (021) 940 4555",Appropriate trade test certificate in Electrical/Millwright/Carpentry/Plumbing.,Permanent Reference No: MHS825/2025 Stikland Hospital
Speech Therapist Grade 1 to 3,MHS813/2025 Khayelitsha District Hospital; Chief Directorate: Metro Health Services,Khayelitsha District Hospital; Chief Directorate: Metro Health Services,1/9/2026,"Grade 1: R 397 233 per annum; Grade 2: R 463 941 per annum; Grade 3: R 543 099 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Assess and manage Speech, Language, and Swallowing fallouts in the adult and Paediatric Populations. Coordinate and manage the Speech Therapy department and services at a district level. Participate in Multidisciplinary Team discussions and departmental, hospital in-service and training programmes and participate in basic student training. Effective and efficient resource management such as managing stock and ordering consumables. Complete weekly stats and service reports as required. Maintain own professional development, facilitate in-service training as identified. Manage review of personal performance.","Ms. N Sonday, tel.no. 021 360-4299",An appropriate qualification that allows for registration with the Health Professions Council of South Africa (HPCSA) as a Speech Therapist or Speech Therapist and Audiologist.,Permanent Reference No: MHS813/2025 Khayelitsha District Hospital; Chief Directorate: Metro Health Services
Medical Specialist Grade 1 to 3 (Nuclear Medicine),TBH196/2025 Tygerberg Hospital,Tygerberg Hospital,1/9/2026,Grade 1: R 1 341 855 per annum; Grade 2: R 1 531 032 per annum; Grade 3: R 1 773 222 per annum A portion of the package can be structured according to the individual's personal needs.,"Clinical image reporting and therapy service provision in all areas of nuclear medicine. Ensure maintenance of quality care standard in nuclear medicine services. Guide staff, teaching, training and supervision of staff. Efficient use of resources, manage assets, consumables and services effectively. Participate in teaching program activities, tutorials and assessments as part of the student training programs. Performance of own research and research supervision.","Prof J Warwick, tel. no (021) 9384372",Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as Medical Specialist in Nuclear Medicine.,Permanent Reference No: TBH196/2025 Tygerberg Hospital
Clinical Nurse Practitioner Grade 1 to 2 (Primary Health Care),"CWD203/2025 Saron Clinic, Drakenstein Sub-district","Saron Clinic, Drakenstein Sub-district",1/9/2026,"Grade 1: R 476,367 per annum, Grade 2: R 583,989 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Assist with the management of the burden of disease in accordance with the guidelines and protocols of the western cape. Provide and maintain quality of care to all patients and health services. Maintain accurate clinical records, statistics registers, and referral records. Effective utilization of Resources/Stock within the limited budget constraints. Participation in Community events and initiating awareness with regards to health-related issues. Maintain and participate in inter-professional and multi-disciplinary teamwork but able to work independently. Supervise and mentor lower categories of staff. Maintain professional growth/ethical standards and self-development.","Ms J Bosch, tel no (021) 862 4520","Basic R425 qualification (i.e., diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council as Professional Nurse and Midwife. Post-basic qualification, with duration of at least 1-year, in Curative Skills in Clinical Nursing Science: Health Assessment, Treatment and Care accredited with the SANC (R48).","Permanent Reference No: CWD203/2025 Saron Clinic, Drakenstein Sub-district"
Operational Manager Nursing Grade 1 (General Unit) (Mixed Ward),RHS187/2025 Worcester Regional Hospital,Worcester Regional Hospital,1/9/2026,"Grade 1: R 549 192 - R 629 121 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Supervise and lead the provision of effective and efficient patient care through adequate nursing care within the functional business unit (FBU). Coordinate and monitor the implementation of nursing care plans and evaluation thereof. Provide relevant health information to health care users to assist in achieving optimal health care and rehabilitation of patients. Maintain constructive working relationships with nursing and stakeholders (i.e. inter-professional, inter-sectoral and multi-disciplinary teamwork). Participate in the analysis, formulation and implementation of nursing guidelines, practices, standards and procedures. Manage and monitor proper utilisation of human, financial and physical resources, including information management.","Mr S Bruiners, tel no. (023) 348-1104.",Basic R425 qualification (i.e. degree/diploma in nursing and midwifery) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife / Accoucheur.,Permanent Reference No: RHS187/2025 Worcester Regional Hospital
Staff Nurse Grade 1 to 3 (New Beginnings House),MHS827/2025 Stikland Hospital,Stikland Hospital,1/9/2026,"Grade 1: R 220,614 per annum, Grade 2: R 262,287 per annum, Grade 3: R 306,798 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide basic clinical nursing care. Development and implementation of basic patient care plans. Facilitate the provision of health care and education according to individual needs of patients, family and community. Effective utilization of resources. Maintain professional growth/ethical standards and self-development. Reporting on patient safety and adverse incidents Effective record keeping.","Ms M Le Roux, tel no. (021) 940 4424",Qualification that allows registration with the SANC as a Staff Nurse.,Permanent Reference No: MHS827/2025 Stikland Hospital
Medical Specialist Grade 1 to 3 (Family Medicine),"GRD201/2025 Oudtshoorn Hospital, Garden Route District","Oudtshoorn Hospital, Garden Route District",1/9/2026,"Grade 1: R 1 341 855 - R 1 422 810 per annum, Grade 2: R 1 531 032 - R 1 623 609, Grade 1: R 1 773 222 - R 2 212 680 per annum A portion of the package can be structured according to the individual's personal needs.","Specialist family medicine care to patients (all age groups) in Oudtshoorn & Kannaland Sub-Districts. Participate in clinical governance of a growing integrated district family medicine health service with a focus on successful COPC implementation and innovation in primary care and chronic disease management. Teaching and clinical supervision of junior and allied health practitioners, generalists and medical students within the Oudtshoorn & Kannaland Sub-Districts.","Dr E Heydenrych, tel. no. (044) 203 - 7204",Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Medical Specialist in Family Medicine.,"Permanent Reference No: GRD201/2025 Oudtshoorn Hospital, Garden Route District"
Operational Manager Nursing (Specialty: Maternity: MOU),"MHS820/2025 Macassar CDC, Khayelitsha Eastern Sub-structure Office","Macassar CDC, Khayelitsha Eastern Sub-structure Office",1/9/2026,"R 693 096 per annum - R 789 861 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Responsible for the coordination and delivery of quality nursing care within the allocated Maternal Child and Woman’s Health department. Participate in formulating, monitoring and implementation of policies, guidelines, standards, procedures, and regulations pertaining to nursing care within the relevant department. Provide effective support and management of human, material and financial resources, as well as functional business FBU management principles. Manage staff performance training and personal development of self and sub-ordinates, including management of under-performance and grievances. Collect, provide and use relevant information for the enhancement of service delivery. Participate in and encourage nursing research.",Ms G Viana 021 857 2330,Basic R425 qualification (i.e. diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife. A post-basic nursing qualification with a duration of at least one year accredited with the SANC in Advance Midwifery and Neonatal Nursing Science.,"Permanent Reference No: MHS820/2025 Macassar CDC, Khayelitsha Eastern Sub-structure Office"
Chief Engineer: Grade A,GSH345/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,"Grade A: R 1,266,450 per annum A portion of the package can be structured according to the individual's personal needs.","Manage the provision of effective, efficient and affordable engineering services through inspections, maintenance, repair, training, evaluation and modification. Serve as the competent person in terms of the Occupational Health and Safety Act (regulations pertaining to electrical and mechanical installations) and provide occupational and equipment safety services. Provide engineering input regarding construction projects and technical feedback to hospital management. Management of the allocated financial and human resources to achieve the pre-determined performance indicators and service delivery imperatives. Contract management in terms of putting Engineering contracts in place and management thereof. Prepare policy reports, submissions and presentations.","Dr S De Vries, Tel no. (021) 404 3178/9",Degree in electrical or mechanical engineering (B Eng/BSc Eng).,Permanent Reference No: GSH345/2025 Groote Schuur Hospital
Laboratory Assistant (Toxicology),"ECSS135/2025 Forensic Medicine and Toxicology, Observatory Forensic Pathology Institute, CD: ECSS","Forensic Medicine and Toxicology, Observatory Forensic Pathology Institute, CD: ECSS",1/9/2026,"R 193 359 per annum - R 227 766 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Effective and efficient Laboratory Upkeep and Support. Effective and efficient Testing Support. Efficient Specimen handling and Management. Effective and efficient Inventory, Facility and Admin Support.","Ms B Davies, tel. no. (021 406 6026/6412) or Bronwen.Davies@uct.ac.za",Senior Certificate (or Equivalent).,"Permanent Reference No: ECSS135/2025 Forensic Medicine and Toxicology, Observatory Forensic Pathology Institute, CD: ECSS"
Tradesman Aid (4 posts),TBH192/2025 Tygerberg Hospital,Tygerberg Hospital,1/9/2026,"R 163 680 per annum - R 192 810 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Perform various basic maintenance duties in the workshop, on the grounds and clear areas where work has been carried out. Assist with repairs and emergency breakdowns (including after hour repairs). Control, manage and safekeeping of tools, stock and equipment in the workshop and carrying, loading and off-loading of tools as well as material. Identify maintenance and repair needs and ensure that tools and material are available when needed and cleaned after use. Provide a support service to the technical staff. Collection, movement and delivery of equipment and furniture. Clean workshop and drains. Provide Support Service to technical Staff. Provide a clean hygiene and safe working environment.","Mr E Frasenburg, tel. no. (021) 938-4237",Grade 10 (or equivalent).,Permanent Reference No: TBH192/2025 Tygerberg Hospital
Senior Administrative Officer: Human Resource Management (People Management),ECSS131/2025 Emergency Medical Services,Emergency Medical Services,1/9/2026,"R 397 116 per annum - R 467 790 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Monitoring control measures for all allowances. Ensure Audit Compliance. Financial Management. Appropriate utilization of overtime budget. Management of Registry services. Management of service benefits. Ensure efficient personnel administration for leave management. Effective Management of incapacity, Pilir applications and WCA. Ensure pension and audit compliance. Provide training, support and guidance to staff and line managers within the scope of profile. Effective management and development of subordinates.",Ms C Acker (Tel: 021 944 9202),Appropriate three-year National Diploma /Degree in Human Resource related field.,Permanent Reference No: ECSS131/2025 Emergency Medical Services
Administration Clerk: Supply Chain Management (Procurement) (2 posts),RXH82/2025 Red Cross War Memorial Children’s Hospital,Red Cross War Memorial Children’s Hospital,1/9/2026,"R 228 321 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Assist and download quotations via e-PS, perform close-outs on e-PS, and prepare submission documentation for the quotation committee (QC) Assist with the entire lifecycle of procurement: specification development, advertising, evaluation, adjudication, award, order placement on LOGIS, delivery confirmation, and expenditure report if needed, for a specific order or contract Perform formal and informal procurement transactions, including compliance with relevant threshold policies. Assist with the drafting, renewal, and monitoring of mini-contracts, institutional contracts, leases, and service-level agreements. Assist with maintaining a contract register and ensure timely alerts before expiry. Support with audits of active contracts, ensuring contract files are updated with all required documentation. Liaise with service providers and internal departments for the amendment, renewal, or cancellation of contracts as required. Assist with the development of performance monitoring tools for Ensure compliance with relevant laws and regulations pertaining to supply chain management Maintain the 0-9 file and ensure daily filling is done. Effective and efficient knowledge of the Procurement on the LOGIS and Electronic Procurement Solutions (ePS) environment. Provide support to the AO, SAO, and colleagues by attending meetings, addressing procurement-related queries, and relieving staff during absences. Ensure clear written and verbal communication across the component. Assist with the submission of procurement plans, deviation reports, and urgent procurement memos. Liaise with internal clients (end-users) and external suppliers/government departments on SCM matters. Ensure adherence to SCM policies, procedures, and regulations, including 16A & 16B frameworks. Regularly update the 0–9 file and ensure all procurement documentation is filed daily. Generate accurate weekly, monthly, and ad hoc procurement reports for the AO, SAO, ASD, and other relevant stakeholders. Assist in internal and external audit preparations, ensuring completeness of files. Capture and track procurement of assets and ensure correct alignment with budget allocations and equipment planning. Ensure accurate reporting of infrastructure and capital equipment procurements in line with Equipment Committee and budget timelines. Assist with institutional annual stock counts, Liaise with end users, service providers and other Governmental departments regarding Supply Chain matters.","Mr O Zibaya /or Mr A Jensel, tel. no. (021) 658-5698/ or 5486","Senior Certificate (or equivalent) with Mathematics and/or Accounting as a passed subject, and/or Senior Certificate (or equivalent) with experience/competencies that focus on the Key Performance Areas (KPA’s) of the post.",Permanent Reference No: RXH82/2025 Red Cross War Memorial Children’s Hospital
Chief Radiographer Grade 1 (Diagnostic),TBH195/2025 Tygerberg Hospital,Tygerberg Hospital,1/9/2026,"R 575 250 per annum - R 638 856 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Responsible for the smooth running of the theatre screening of the department, office and after hours, and the delivery of a professional service to all patients. Produce, control, and participate in diagnostic images of high quality. Responsible for staff and student training in your area. Participate in the management of the Radiography cost centre. Manage radiography and support personnel, including performance appraisals. Ensure quality assurance, care of equipment and suitable radiation protection always. Engage with vendors with regards to the maintenance of equipment. Participate in middle management and delegated management tasks, including statistic collation and attending of meetings.","Ms B Dreyer, tel. no. (021) 9385918",Appropriate qualification that allows for registration with the Health Professions Council of South Africa (HPCSA) as a Diagnostic Radiographer.,Permanent Reference No: TBH195/2025 Tygerberg Hospital
Clinical Programme Coordinator Grade 1 (Comprehensive Health),"CKD75/2025 Central Karoo District Office, Central Karoo District","Central Karoo District Office, Central Karoo District",1/9/2026,"R 549 192 per annum - R 629 121 per annum (Plus non pensionable rural allowance of 12% of your annual basic salary) Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Ensure implementation, coordination, monitoring and evaluation of the District Child health services and strategies. Support the implementation of the HIV/AIDS/STI/TB services, establish linkages with integrated management of chronic conditions, Maternal Women, Youth and Men’s Health and the 1st 1000 day’s strategies within the Laingsburg and Prince Albert sub districts and the Beaufort West Sub District. Support the internal and external interface strengthening with the focus on the COPC Model. Monitor and evaluate programme goals and targets including the collection, validation and interpretation of statistical data. Support the Laingsburg and Prince Albert sub districts and the Beaufort West Sub District to achieve and maintain Ideal Health status (PHC facilities and District Hospitals). Support the Laingsburg and Prince Albert sub districts and the Beaufort West Sub District to with all other quality related services.","Ms Janine Nel, tel. no. (023) 414 - 3590","Basic R425 qualification (i.e.diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as Professional Nurse. (This dispensation is only applicable for posts of Clinical Programme Coordinator where it is an inherent requirement of the post, incumbent to maintain registration with the SANC).","Permanent Reference No: CKD75/2025 Central Karoo District Office, Central Karoo District"
