position,reference_number,location,closing_date,package,requirements,duties,enquiries,link
SENIOR ADMIN LEVEL 7,REFS/034951,Leratong Hospital,2026/01/16,R 325 101.00 PER ANNUM (PLUS BENEFITS,"Grade 12 or equivalent with NQF level 6/7 in office management, management assistant, secretarial, public management/administration. Microsoft package qualification. Proficient user of Microsoft suites, candidates will be subjected to a competency test. 5 years’ experience rendering support to senior management. Driver’s licence will be an added advantage (valid code8/10) Ability to operate office equipment. Knowledge of relevant legislation, policies, prescripts and procedures. Ability to manage senior management offices. Good telephone etiquette and ability to communicate well with people at different levels. Strong communication skills written and verbal.","Provide secretariat/administrative functions to the office of the CEO. Manage the diary of the CEO. Receive visitors for the office of the CEO. Arrange refreshments for the office of the CEO. Receive and screen calls directed to the CEO. Provide support to the office of the CEO regarding meetings, respond to enquiries received from internal/external stakeholders, direct enquiries to relevant managers for response and follow up. Compile minutes during meetings and share with relevant stakeholders, Compile/consolidate reports for the office of the CEO. Perform any other duties as requested by the manager.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+JdtKV/eG3AIA==
ASSISTANT DIRECTOR PATIENT AFFAIRS,REFS/034950,Leratong Hospital,2026/01/16,R 468 459 per annum (Plus Benefits),"National Diploma/Degree in Public Management and Administration with 3 years’ supervisory level experience in Patient Affairs. Management and Leadership skills. Ability to interpret and implement the policies, directives and guidelines of the Gauteng Department of Health. Excellent verbal and communication skills. Knowledge and understanding of Patient Affairs scripts. Must be computer literate.","Responsible for implementation and compilation of the sections operational plans, strategic plans, and quarterly reviews. Ensure proper records keeping through proper interpretation of the Records management policy. Ensure that systems are in place for the management of PAIA requests. Interpretation and implementation of all mortuary prescripts and related guidelines. Ensure that systems are in place to maximize the institution revenue collection. Ensure individual performance is aligned to section strategic objectives. Ensure proper application of Labour Relations Act and Code of Conduct. Ensure submission of accurate and reliable data to senior management.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+KvaUMf355qUg==
ASSISTANT DIRECTOR FINANCE,refs/034949,Leratong Hospital,2026/01/16,R 468 459 per annum (Plus Benefits),"An appropriate NQF level 7 (bachelor’s degree or Advanced Diploma or B tech) qualification in Financial Accounting / Financial management plus 3 years supervisory level experience in Finance. Computer Literacy. Must have a valid driver’s license. Knowledge of relevant Act (PFMA, Treasury Regulations) and systems (BAS, SAP). Interpersonal skills. Communication skills. Good leadership skills. Must be able to plan, organise and co-ordinate activities in the unit. Ability to work under pressure. Team leadership.","Development of the Finance Department Operational Plan, compile and present quarterly reviews. Effective Financial control and monitoring of current budget and expenditure. Compiling of monthly financial reports. Perform various expenditure monthly reconciliations. Clearing of web cycles (IMS). Management of accruals. Ensure suppliers are paid within 30 days. Attend to suppliers related queries. Assist in the preparations and allocation of budget. Training of staff on finance related matters. Supervision and mentoring of staff. Attend to auditors and develop action plans to improve control and eliminate audit findings. Effective Risk management. Evaluate performance of sub – ordinates quarterly and annually.",Ms N Serobatse (011) 411-3563 / Ms M Mabiletse (011)411-3677,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=E7CSZ5GRR4Ff8zOiCY136Q==
MEDICAL OFFICER ANAESTHETICS,refs/034948,Pholosong Regional Hospital,2026/01/16,"Grade 1: R 949 146 – R 1 021 911 per annum, (all-inclusive package), Grade 2: R 1 082 988 – R 1 182 13 per annum, (all-inclusive package), Grade 3: R 1 253 415 – R 1 561 734 per annum, (all-inclusive package)",Grade 12 plus MBCHB degree registered with HPCSA as a Medical Officer independent practice. With annual registration to practice and registration as a Medical Officer independent practitioner.,"The incumbent will be responsible for interviewing, investigating, diagnosing and overseeing the treatment of patients. Attendance of relevant administrative meeting like mortality meetings, near miss meetings and completing Medico legal documents timeously (e.g. Death certificate). Improving quality of care by providing appropriate clinical care. Reduce medical litigation by exercising good clinical ethos. Implement and monitor adherence to National Core Standards (Norms and Standard). Participating in all activities of the discipline in relations to teaching and research. Participate in multidisciplinary team to the management of patients. Performance of practical procedures relevant to the patients. Ensure that administration and record keeping is done in the department. Experience and a diploma in anaesthesia will be an added advantage.",Dr. N Jwara Tel No- (011) 812 5163,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=E7CSZ5GRR4HbIgZ66fa9fw==
MEDICAL OFFICER GRADE 1 - INTERNAL MEDICINE,refs/034947,Pholosong Regional Hospital,2026/01/16,"Grade 1: R 949 146 – R 1 021 911 per annum, (all-inclusive package) , Grade 2: R 1 082 988 – R 1 182 13 per annum, (all-inclusive package),Grade 3: R 1 253 415 – R 1 561 734 per annum, (all-inclusive package)",MBCHB degree registered with HPCSA as a Medical Officer independent practitioner. Active registration to with the HPCSA for the current financial year.,"The incumbent will be responsible for interviewing, investigating, diagnosing and overseeing the treatment of patients. Attendance of relevant administrative meeting like mortality meetings, near miss meetings and completing Medico legal documents timeously (e.g. Death certificate). Improving quality of care by providing appropriate clinical care. Reduce medical litigation by exercising good clinical ethos. Implement and monitor adherence to National Core Standards (Norms and Standard). Participating in all activities of the discipline in relations to teaching and research. Participate in multidisciplinary team to the management of patients. Performance of practical procedures relevant to the patients. Ensure that administration and record keeping is done in the department. Primaries in internal Medicine, HIV Diploma and experience will be an added advantage.",Dr. L. Luthuli Tel No- (011) 812 5163,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=E7CSZ5GRR4EZFGgOS83zkw==
MEDICAL OFFICER GRADE 1 - RADIOLOGY,refs/034946,Pholosong Regional Hospital,2026/01/16,"Grade 1: R 949 146 – R 1 021 911 per annum, (all-inclusive package), Grade 2: R 1 082 988 – R 1 182 13 per annum, (all-inclusive package), Grade 3: R 1 253 415 – R 1 561 734 per annum, (all-inclusive package)",MBCHB degree registered with HPCSA as a Medical Officer independent practice with annual registration to practice and registration as a Medical Officer independent practitioner.,"The incumbent will be responsible for interviewing, investigating, diagnosing and overseeing the treatment of patients. Attendance of relevant administrative meeting like mortality meetings, near miss meetings and completing Medico legal documents timeously (e.g. Death certificate). Improving quality of care by providing appropriate clinical care. Reduce medical litigation by exercising good clinical ethos. Implement and monitor adherence to National Core Standards (Norms and Standard). Participating in all activities of the discipline in relations to teaching and research. Participate in multidisciplinary team to the management of patients. Performance of practical procedures relevant to the patients. Ensure that administration and record keeping is done in the department. Primaries in radiology and experience in radiology are an added advantage.",Dr. N Jwara Tel No- (011) 812 5163,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=E7CSZ5GRR4FUQVpbYVlVvA==
MEDICAL OFFICER GRADE 1- OBSTETRICS & GYNAECOLOGY,refs/034945,Pholosong Regional Hospital,2026/01/16,"Grade 1- R 949 146 – R 1 021 911 per annum, (all-inclusive package), Grade 2- R 1 082 988 – R 1 182 13 per annum, (all-inclusive package), Grade 3- R 1 253 415 – R 1 561 734 per annum, (all-inclusive package",MBCHB degree registered with HPCSA as a Medical Officer independent practitioner. Active registration with the HPCSA for the current financial year.,"The incumbent will be responsible for interviewing, investigating, diagnosing and overseeing the treatment of patients. Attendance of relevant administrative meeting like mortality meetings, near miss meetings and completing Medico legal documents timeously (e.g. Death certificate). Improving quality of care by providing appropriate clinical care. Reduce medical litigation by exercising good clinical ethos. Implement and monitor adherence to National Core Standards (Norms and Standard). Participating in all activities of the discipline in relations to teaching and research. Participate in multidisciplinary team to the management of patients. Performance of practical procedures relevant to the patients. Ensure that administration and record keeping is done in the department. Experience and a diploma in obstetrics & gynaecology will be an added advantage",Dr. L. Luthuli Tel No- (011) 812 5163,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=E7CSZ5GRR4G1L6qCBzaAHg==
MEDICAL OFFICER GRADE 1 - PAEDIATRICS,REFS/034944,Pholosong Regional Hospital,2026/01/16,"Grade 1- R 949 146 – R 1 021 911 per annum, (all-inclusive package), Grade 2- R 1 082 988 – R 1 182 13 per annum, (all-inclusive package), Grade 3- R 1 253 415 – R 1 561 734 per annum, (all-inclusive package)",MBCHB degree registered with HPCSA as a Medical Officer independent practitioner. Active registration to with the HPCSA for the current financial year.,"The incumbent will be responsible for interviewing, investigating, diagnosing and overseeing the treatment of patients. Attendance of relevant administrative meeting like mortality meetings, near miss meetings and completing Medico legal documents timeously (e.g. Death certificate). Improving quality of care by providing appropriate clinical care. Reduce medical litigation by exercising good clinical ethos. Implement and monitor adherence to National Core Standards (Norms and Standard). Participating in all activities of the discipline in relations to teaching and research. Participate in multidisciplinary team to the management of patients. Performance of practical procedures relevant to the patients. Ensure that administration and record keeping is done in the department. A diploma in Child health and experience working in paediatrics department will be an added advantage",Dr L Luthuli Tel No- (011) 812 5163,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=57glvgJbW+Lb7T/8R1xyjA==
Assistant Director: Communication Officer,REFS/024369,Charlotte Maxeke Johannesburg Academic Hospital,2026/01/09,R468 459.00 per annum (plus benefits),"Matric and appropriate three (3) year National Diploma or Degree from a recognized SAQA accredited tertiary institution in Public Relations/ Communication Science/ Communication management or Journalism. At least three (3) years’ experience as Communication Officer. Skills: sound interpersonal relations, project planning skills, ability to prepare reports. Good communication skills both verbal and written. Must be computer literate. Knowledge: Good understanding and knowledge of communication must have a valid driver’s licence.","Plan, implement and oversee both internal and external communication. Formulate and implement communication strategies. Coordinate outreach and communication activities. Manage effectively and economically the hospital resources for public education, public relations, media services and stakeholder relations. Drive and coordinate generation of good news to cater for various media platforms and formats inclusive of corporate publications, media statements, electronics media, social media, visual and audio, live interviews. Coordinate responses to media enquiries and legislature Reponses. Provide communication support to the various department’s events and activities. Ensure that hospital has adequate communication materials and publications at all times. Publish quarterly internal newsletters, coordination of the annual open day events. Manage and develop content for hospital’s social media accounts. Carry out photo coverage in all events, implement social media strategy in line with departmental corporate identity with cooperate identity manual. Secretary and liaison between hospital board.",Ms G Bogoshi TEL 011 488 3792 Ms L Maseko Tel 011 488 3711,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=Awpj99fb8YVHG3pp3CfR6A==
Administration Officer,REFS/024368,Charlotte Maxeke Johannesburg Academic Hospital,2026/01/09,R 325 101.00 (per annum) plus benefits,"Grade 12 or equivalent with more than 10 years in Auditing, Accounting or Risk Management experience or National Diploma or Degree from a recognized SAQA tertiary institution in Auditing, Accounting or Risk Management between 0 and 2 years in Auditing, Accounting or Risk Management experience. Knowledge: Sound knowledge of Auditing, Accounting or Risk Management. In-basic knowledge and insight in Treasury Regulations and Public Finance Management Act. Customer relations. Computer literacy- MS Office (Word, Excel, Outlook & PowerPoint), a range of work procedures such as Finance, HR matters, Safety, Labour Matters. Administration procedures relating to specific working environment including norms and standards. Reporting procedures, procurement directives and procedures. Skills: Planning and organising, sound analytical thinking, good interpersonal relation, problem solving, decision-making and maintaining discipline. Conflict resolution, Good verbal communication and report writing skills. Ability to liaise with internal and external stakeholders (i.e. Auditor General of South Africa, Gauteng Audit Service and any other stakeholders). Loyal and strongly orientated towards teamwork, ability to operate independently, must hold high level of professionalism, confidentiality, integrity and ethical conduct. The following will be an added advantage: Supervision skills, previous experience in audit environment or completed audit articles.","Monitor incidents and emerging risk reported. Monitor implementation of audit action plans. Prepare risk-based audits, financial and non-financial pre-audits and internal control assessments. Facilitate and monitor operational risk registers for all hospital business units. Monitor strategic risk register under manager’s supervision. Orientate new staff on audit, risk and ethics. Conduct risk awareness campaigns. Delegated to various committees. Be abreast with legislative laws, regulations and guidelines as well as Department’s circulars, policies and procedure manuals. Render Departmental administrative support service. Compile and draft management reports. (With recommendation were necessary).",Ms. M. Dikamotse Tel No - 011 488 4841 Ms L Maseko Tel No - 011 488 3711,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=Awpj99fb8YV8QdedcWDXEw==
Secretary,REFS/024367,Charlotte Maxeke Johannesburg Academic Hospital,2026/01/09,R 228 321.00 per annum (plus benefits),"A Grade 12 or equivalent qualification no experience required. Knowledge- Patient Rights and Batho Pele Principles. Skills- computer literacy, experience in Ms. (Word, Excel and PowerPoint), Typing skills, Good interpersonal skills and telephone etiquette. Ability to function under pressure. Be assertive and presentable. The following will be an added advantage: At least 12 months’ experience as a secretary. Secretarial internship experience in a hospital environment. Secretarial or Administration Diploma or equivalent.","Responsible for overall administration of the manager’s office. Diary management and co-ordination of office activities. Management of all incoming and outgoing correspondence. Co-ordination and preparation for meetings, workshop and typing of document. Provide reception services including call screening, receiving as well as attending to messages and provide hospitable reception of visitors to the manager’s office. Making travel and accommodation arrangements as well as processing of all substance and travel claims. Handling of confidential documents. Operate standard office equipment (fax, photocopy machine and telephone). Type correspondence such as reports, submissions and letters. Perform administrative tasks such as taking minutes and arranging /serving refreshment and understanding of cost containment.",Ms. N Mzila Tel No - 011 488 3365 Ms L Maseko Tel No - 011 488 3711,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=Awpj99fb8YXS4HUP1T7+ww==
ASSISTANT MANAGER NURSING AREA (PHC SPECIALITY),REFS/024366,Johannesburg Health District,2026/01/09,"R 755 355,00 per annum (plus benefits)","A Basic R425 qualification (i.e., Diploma/ degree in nursing) or equivalent qualification that allows registration with SANC as professional nurse. A Post basic qualification with a duration of at least 1 year accredited with the SANC in the specialty relevant to PHC setting. A Health Service Management or Nursing Administration qualification with duration of at least 01 year, accredited with SANC. A minimum of 10 years appropriate/recognisable nursing experience after registration as Professional Nurse with the SANC in General Nursing. At least 6 years of the period referred to above must be appropriate/ recognizable experience in the PHC setting after obtaining the 1 year post basic qualification in the relevant specialty. At least 3 years of the period referred to above must be appropriate/ recognizable experience at management level. Other skills/requirement: Knowledge of the application of nursing act, Public Service Regulations, Basic Condition of Employment Act, Labour Relations Act, Public Finance Management Act, Treasury Regulations, Human resource management; Leadership, organizational, decision making and problem-solving skills. Understanding the application of Batho Pele Principle. Patient’s Rights Charter and quality assurance system. Ability to communicate (verbally and written). Good people management and presentation skills. interpersonal social mobilisation, networking and repot writing as well as Team building and Policy formulation. Computer literacy and a valid Driver’s license are essential","To ensure that a comprehensive quality nursing treatment and care service is delivered to patients in a cost effective, efficient, and equitable manner by the facilities. To always ensure compliance to professional and ethical standards. Promote quality of nursing care and ethos as directed by the professional scope of practice and standards as determined by SANC. Facilitate provision of a comprehensive package of service at PHC level and ensure that the facilities adhere to the principles of Batho Pele. Ensure effective implementation of Service and Quality Improvement Plans, Occupational Health, and Safety as well as Quality Assurance Program etc. Ensure compliance with ideal clinic, clinical guidelines and protocols, norms and standards within the facilities. Adhere to Office of the Health Standard Compliance and ensure effective achievement on Ministerial Priorities, Ideal Clinic Compliance and support PHC re-engineering program implementation. Ensure management and control of human, financial and material resources. Monitor utilization of budget to ensure that the clinic functions within the allocated budget. Supervise and monitor staff performance in accordance with Performance Management and Development System (PMDS); develop and implement staff training plan. Attend to grievances of staff and administer discipline; and ensure that absenteeism and abscondment of staff is effectively controlled. Ensure submission of day, weekly, monthly, quarterly and annual reports. General administration duties and management soft skills is mandatory.",Mrs. L Matlala 011 694 3708,https://jobs.gauteng.gov.za/Public/ViewJob.aspx?u=Awpj99fb8YWugNimNJxXaA==
